year,city,quantidade_total_uc,area_total_desmat
2019,ABDON BATISTA,0,20.5313
2019,AGUA DOCE,2,3.099
2019,ALFREDO WAGNER,4,13.5988
2019,ANGELINA,0,2.0808
2019,ANITA GARIBALDI,0,12.4915
2019,ANITAPOLIS,1,1.6398
2019,ARAQUARI,0,14.3036
2019,ARMAZEM,0,1.8713
2019,BALNEARIO ARROIO DO SILVA,0,9.3148
2019,BARRA VELHA,1,9.6149
2019,BOCAINA DO SUL,1,36.1554
2019,BRUSQUE,3,2.7016
2019,CACADOR,1,5.5467
2019,CALMON,0,3.6387
2019,CAMPO ALEGRE,2,4.8987
2019,CAMPO BELO DO SUL,1,7.313
2019,CAMPOS NOVOS,1,8.9818
2019,CAPAO ALTO,0,2.029
2019,CAPINZAL,0,2.2132
2019,CAXAMBU DO SUL,0,1.6179
2019,CELSO RAMOS,0,21.4938
2019,CONCORDIA,1,1.9781
2019,CORDILHEIRA ALTA,0,3.1979
2019,CORONEL FREITAS,0,3.2055
2019,CORONEL MARTINS,0,2.5433
2019,CORREIA PINTO,0,10.2509
2019,CRICIUMA,3,1.9203
2019,FORMOSA DO SUL,0,4.4578
2019,FRAIBURGO,0,2.9042
2019,GARUVA,1,12.2506
2019,GUARAMIRIM,2,1.5462
2019,IRACEMINHA,0,3.4861
2019,ITA,0,2.3482
2019,ITAIOPOLIS,9,14.2529
2019,ITAPOA,3,5.3533
2019,ITUPORANGA,1,2.0066
2019,JACINTO MACHADO,0,3.0755
2019,JAGUARUNA,0,4.9967
2019,JOINVILLE,8,11.4456
2019,LEBON REGIS,0,5.0752
2019,MAFRA,0,12.761
2019,MATOS COSTA,0,5.5196
2019,ORLEANS,0,1.5953
2019,OTACILIO COSTA,0,19.6775
2019,OURO VERDE,0,3.4106
2019,PALMA SOLA,0,0.4888
2019,PALMITOS,0,13.1384
2019,PAPANDUVA,0,13.6235
2019,PASSOS MAIA,1,1.0035
2019,PAULO LOPES,3,1.2051
2019,PINHALZINHO,0,8.0046
2019,PONTE ALTA,0,3.7909
2019,PORTO UNIAO,2,1.0421
2019,PRESIDENTE GETULIO,0,1.2263
2019,RIO DAS ANTAS,0,6.7919
2019,RIO DO OESTE,0,1.0389
2019,RIO NEGRINHO,3,10.0651
2019,SANTA CECILIA,0,3.918
2019,SANTA TEREZINHA,0,3.5932
2019,SAO BONIFACIO,0,2.7393
2019,SAO FRANCISCO DO SUL,2,7.1159
2019,SAO JOAO DO ITAPERIU,0,3.3436
2019,SAO JOAQUIM,1,1.8799
2019,SAO JOSE DO CERRITO,0,20.3961
2019,SAO MIGUEL DO OESTE,0,1.7224
2019,SIDEROPOLIS,0,10.1293
2019,TIMBO GRANDE,0,25.4272
2019,URUSSANGA,1,1.4489
2019,VARGEAO,0,4.1188
2019,VARGEM,0,8.4591
2019,VARGEM BONITA,2,5.2181
2019,VITOR MEIRELES,1,1.8155
2020,ABELARDO LUZ,0,23.1345
2020,AGUA DOCE,2,31.8917
2020,AGUAS MORNAS,1,1.0226
2020,ALFREDO WAGNER,4,8.4148
2020,ALTO BELA VISTA,0,2.2676
2020,ANGELINA,0,3.3817
2020,ANITA GARIBALDI,0,75.641
2020,ANITAPOLIS,1,6.6962
2020,ANTONIO CARLOS,2,0.5147
2020,ARAQUARI,0,78.0341
2020,ARMAZEM,0,2.7128
2020,ASCURRA,0,1.951
2020,ATALANTA,1,1.4079
2020,BALNEARIO BARRA DO SUL,1,2.7986
2020,BALNEARIO PICARRAS,0,2.8227
2020,BANDEIRANTE,0,7.278
2020,BARRA VELHA,1,17.2322
2020,BELA VISTA DO TOLDO,1,1.2217
2020,BOCAINA DO SUL,1,22.6134
2020,BOM JARDIM DA SERRA,1,4.856
2020,BOM RETIRO,6,16.0737
2020,BRACO DO NORTE,0,4.1008
2020,BRACO DO TROMBUDO,0,1.9995
2020,BRUNOPOLIS,0,7.7604
2020,BRUSQUE,3,2.0434
2020,CACADOR,1,19.6781
2020,CALMON,0,16.2792
2020,CAMBORIU,2,8.2266
2020,CAMPO ALEGRE,2,7.6129
2020,CAMPO BELO DO SUL,1,15.2909
2020,CAMPO ERE,1,1.7053
2020,CAMPOS NOVOS,1,2.1682
2020,CANELINHA,0,1.6264
2020,CANOINHAS,0,25.5424
2020,CATANDUVAS,0,11.1883
2020,CELSO RAMOS,0,11.9875
2020,CERRO NEGRO,0,14.1555
2020,CHAPECO,1,17.1867
2020,CONCORDIA,1,10.7799
2020,CORREIA PINTO,0,4.5251
2020,CORUPA,1,7.2724
2020,CRICIUMA,3,6.4142
2020,CURITIBANOS,0,3.1069
2020,DIONISIO CERQUEIRA,0,1.9037
2020,ENTRE RIOS,0,54.8859
2020,FLORIANOPOLIS,13,1.3287
2020,FRAIBURGO,0,11.4179
2020,GAROPABA,0,2.1605
2020,GARUVA,1,21.8983
2020,GASPAR,1,17.0242
2020,GRAO-PARA,0,2.4319
2020,HERVAL D'OESTE,0,1.3668
2020,IBIAM,0,9.5428
2020,IBICARE,0,5.0509
2020,IMARUI,0,3.9973
2020,INDAIAL,0,0.601
2020,IPORA DO OESTE,0,3.0527
2020,IPUACU,0,8.8173
2020,IPUMIRIM,0,2.9392
2020,ITAIOPOLIS,10,29.9567
2020,ITAJAI,8,1.5686
2020,ITAPOA,3,13.0272
2020,ITUPORANGA,1,2.2786
2020,JABORA,0,16.751
2020,JACINTO MACHADO,0,1.6258
2020,JARAGUA DO SUL,1,2.7869
2020,JARDINOPOLIS,0,4.5142
2020,JOINVILLE,8,1.3725
2020,LAGES,1,3.537
2020,LAURO MULLER,0,0.8802
2020,LEBON REGIS,0,9.1747
2020,LINDOIA DO SUL,0,2.8209
2020,LUIZ ALVES,0,1.2723
2020,MACIEIRA,0,8.2
2020,MAFRA,0,39.2618
2020,MAJOR VIEIRA,0,4.6233
2020,MASSARANDUBA,0,0.714
2020,MONDAI,0,2.5398
2020,MONTE CASTELO,0,43.7192
2020,ORLEANS,0,6.7904
2020,OURO,0,4.3158
2020,PAINEL,0,2.877
2020,PALHOCA,1,31.2542
2020,PALMEIRA,0,3.5304
2020,PALMITOS,0,2.2197
2020,PAPANDUVA,0,10.3245
2020,PASSOS MAIA,1,201.3075
2020,PAULO LOPES,3,5.7631
2020,PERITIBA,0,7.1052
2020,PONTE SERRADA,0,55.6374
2020,PORTO BELO,4,10.6261
2020,POUSO REDONDO,0,6.4037
2020,PRESIDENTE NEREU,0,5.7532
2020,QUILOMBO,0,8.3099
2020,RANCHO QUEIMADO,1,9.3634
2020,RIO DAS ANTAS,0,3.7133
2020,RIO DO CAMPO,0,1.4712
2020,RIO DOS CEDROS,0,63.0099
2020,RIO NEGRINHO,3,17.0352
2020,RIO RUFINO,0,68.848
2020,RIQUEZA,0,4.7396
2020,ROMELANDIA,0,1.1154
2020,SALETE,0,9.5554
2020,SALTINHO,0,1.921
2020,SANTA CECILIA,0,10.4868
2020,SANTA HELENA,0,4.0794
2020,SANTA TEREZINHA,0,84.8619
2020,SAO BONIFACIO,0,7.1573
2020,SAO DOMINGOS,1,10.6989
2020,SAO FRANCISCO DO SUL,2,29.3694
2020,SAO JOAO DO ITAPERIU,0,8.7722
2020,SAO JOAO DO SUL,0,2.4647
2020,SAO JOAQUIM,1,5.9922
2020,SAO JOSE,1,3.0174
2020,SAO JOSE DO CERRITO,0,68.1811
2020,SAO LOURENCO DO OESTE,0,2.9922
2020,SAO MARTINHO,0,4.0885
2020,SIDEROPOLIS,0,3.9746
2020,TAIO,0,29.3431
2020,TANGARA,0,3.9881
2020,TIMBE DO SUL,0,2.0911
2020,TRES BARRAS,1,2.7769
2020,URUBICI,8,19.5557
2020,URUSSANGA,1,8.6453
2020,VARGEAO,0,26.5171
2020,VARGEM,0,11.7143
2020,VIDAL RAMOS,2,3.9957
2020,VITOR MEIRELES,1,9.2545
2020,WITMARSUM,0,2.0368
2021,ABDON BATISTA,0,1.2661
2021,ABELARDO LUZ,0,1.9382
2021,AGROLANDIA,0,7.3263
2021,AGRONOMICA,0,1.4584
2021,AGUA DOCE,2,16.74
2021,AGUAS FRIAS,0,1.7972
2021,AGUAS MORNAS,1,6.8469
2021,ALFREDO WAGNER,4,16.9812
2021,ANCHIETA,0,1.8071
2021,ANGELINA,0,5.1663
2021,ANITA GARIBALDI,0,13.865
2021,ARAQUARI,0,60.915
2021,ARMAZEM,0,2.0419
2021,BALNEARIO PICARRAS,0,1.7128
2021,BELA VISTA DO TOLDO,1,18.8215
2021,BIGUACU,1,2.7407
2021,BLUMENAU,10,5.3621
2021,BOCAINA DO SUL,1,4.743
2021,BOM JARDIM DA SERRA,1,3.4291
2021,BOM RETIRO,6,40.8549
2021,BRACO DO NORTE,0,2.1704
2021,BRACO DO TROMBUDO,0,3.5933
2021,BRUNOPOLIS,0,40.5628
2021,BRUSQUE,3,28.1864
2021,CACADOR,1,19.1508
2021,CALMON,0,10.2141
2021,CAMBORIU,2,1.8145
2021,CAMPO ALEGRE,2,22.9494
2021,CAMPO BELO DO SUL,1,10.5215
2021,CAMPO ERE,1,1.7364
2021,CAMPOS NOVOS,1,8.0627
2021,CANOINHAS,0,46.2428
2021,CATANDUVAS,0,2.8637
2021,CELSO RAMOS,0,2.1724
2021,CERRO NEGRO,0,3.1503
2021,CONCORDIA,1,16.5476
2021,CORONEL MARTINS,0,2.7666
2021,CORREIA PINTO,0,33.6382
2021,CRICIUMA,3,14.0475
2021,CUNHATAI,0,7.0797
2021,CURITIBANOS,0,15.6933
2021,DESCANSO,0,6.0511
2021,DIONISIO CERQUEIRA,0,5.8099
2021,DONA EMMA,0,0.581
2021,DOUTOR PEDRINHO,1,9.7224
2021,FAXINAL DOS GUEDES,0,3.6788
2021,FRAIBURGO,0,2.1454
2021,GASPAR,1,2.6764
2021,IBIAM,0,1.3437
2021,IBIRAMA,0,2.0742
2021,IMARUI,0,5.4098
2021,IMBUIA,1,6.2802
2021,INDAIAL,0,3.9708
2021,IPIRA,0,26.27
2021,IRACEMINHA,0,0.8246
2021,IRINEOPOLIS,0,3.6294
2021,ITA,0,10.6528
2021,ITAIOPOLIS,10,81.858
2021,ITAJAI,8,3.1005
2021,ITAPIRANGA,0,3.842
2021,ITAPOA,3,56.6608
2021,ITUPORANGA,1,1.5547
2021,JACINTO MACHADO,0,2.2023
2021,JOACABA,1,2.8222
2021,JOINVILLE,8,10.8003
2021,JOSE BOITEUX,0,4.172
2021,LAGES,1,3.1164
2021,LEBON REGIS,0,14.5347
2021,LINDOIA DO SUL,0,5.7141
2021,LUIZ ALVES,0,2.3542
2021,LUZERNA,0,10.6172
2021,MACIEIRA,0,12.9056
2021,MAFRA,0,48.8484
2021,MAJOR VIEIRA,0,2.4425
2021,MASSARANDUBA,0,2.7505
2021,MATOS COSTA,0,6.3886
2021,MONTE CASTELO,0,24.5986
2021,NAVEGANTES,1,5.7301
2021,OTACILIO COSTA,0,6.1157
2021,PALHOCA,1,17.9891
2021,PALMEIRA,0,1.7095
2021,PALMITOS,0,2.4522
2021,PAPANDUVA,0,11.3927
2021,PASSOS MAIA,1,11.5872
2021,PEDRAS GRANDES,0,6.7235
2021,PERITIBA,0,17.2085
2021,PETROLANDIA,0,3.4005
2021,PIRATUBA,1,1.0021
2021,PONTE ALTA,0,0.9184
2021,PONTE ALTA DO NORTE,0,37.2214
2021,PONTE SERRADA,0,66.9324
2021,PORTO UNIAO,3,4.2101
2021,POUSO REDONDO,0,1.0564
2021,PRESIDENTE CASTELLO BRANCO,0,3.8494
2021,RANCHO QUEIMADO,1,2.1979
2021,RIO DO OESTE,0,0.9967
2021,RIO DO SUL,0,15.0506
2021,RIO DOS CEDROS,0,9.3112
2021,RIO FORTUNA,0,3.3472
2021,RIO NEGRINHO,3,70.4086
2021,RIO RUFINO,0,3.8672
2021,ROMELANDIA,0,4.1004
2021,SANTA CECILIA,0,28.5611
2021,SANTA ROSA DE LIMA,1,0.1541
2021,SANTA TEREZINHA,0,9.0708
2021,SAO BENTO DO SUL,3,0.7689
2021,SAO BERNARDINO,0,2.1814
2021,SAO BONIFACIO,0,3.9335
2021,SAO CRISTOVAO DO SUL,0,4.0597
2021,SAO DOMINGOS,1,1.7598
2021,SAO FRANCISCO DO SUL,2,29.1196
2021,SAO JOAO DO ITAPERIU,0,1.4737
2021,SAO JOAQUIM,1,8.2106
2021,SAO JOSE DO CERRITO,0,66.8381
2021,SAO MARTINHO,0,1.2524
2021,SAO MIGUEL DA BOA VISTA,0,1.7234
2021,SAO PEDRO DE ALCANTARA,1,1.7299
2021,SEARA,0,1.5167
2021,SIDEROPOLIS,0,2.3607
2021,SOMBRIO,0,1.4242
2021,TAIO,0,2.2441
2021,TIMBO GRANDE,0,16.1472
2021,TRES BARRAS,1,3.082
2021,TREVISO,0,1.7653
2021,TROMBUDO CENTRAL,0,4.004
2021,URUBICI,8,8.1478
2021,VARGEAO,0,5.8348
2021,VARGEM,0,10.9161
2021,VIDAL RAMOS,2,14.2467
2021,VIDEIRA,1,5.0358
2021,WITMARSUM,0,7.7612
2021,XAXIM,0,7.799
2021,ZORTEA,0,7.5485
2022,ABDON BATISTA,0,7.5598
2022,ABELARDO LUZ,0,20.849
2022,AGROLANDIA,0,9.2623
2022,AGRONOMICA,0,0.4946
2022,AGUA DOCE,2,70.7059
2022,AGUAS DE CHAPECO,0,2.7277
2022,AGUAS MORNAS,1,7.7975
2022,ALFREDO WAGNER,4,8.7424
2022,ALTO BELA VISTA,0,4.2192
2022,ANCHIETA,0,1.7284
2022,ANGELINA,0,15.8002
2022,ANITA GARIBALDI,0,30.6155
2022,ANITAPOLIS,2,7.1299
2022,ANTONIO CARLOS,2,2.3647
2022,APIUNA,2,1.1516
2022,ARABUTA,0,3.7694
2022,ARAQUARI,0,16.4716
2022,ARROIO TRINTA,2,0.9546
2022,ASCURRA,0,0.4511
2022,ATALANTA,1,3.8101
2022,AURORA,0,7.8871
2022,BALNEARIO PICARRAS,1,18.7358
2022,BANDEIRANTE,0,0.9427
2022,BARRA BONITA,0,2.004
2022,BARRA VELHA,1,2.604
2022,BELA VISTA DO TOLDO,1,2.9451
2022,BELMONTE,0,3.2064
2022,BENEDITO NOVO,0,0.3483
2022,BIGUACU,1,1.7703
2022,BLUMENAU,10,1.6075
2022,BOCAINA DO SUL,1,5.7133
2022,BOM JARDIM DA SERRA,1,4.8398
2022,BOM JESUS DO OESTE,0,2.2767
2022,BOM RETIRO,6,3.4499
2022,BOTUVERA,2,6.5705
2022,BRACO DO NORTE,0,2.7269
2022,BRUNOPOLIS,0,236.6423
2022,BRUSQUE,3,2.346
2022,CACADOR,1,7.154
2022,CAIBI,0,6.2663
2022,CALMON,0,10.7815
2022,CAMBORIU,2,1.2749
2022,CAMPO ALEGRE,2,14.1124
2022,CAMPO BELO DO SUL,1,10.23
2022,CAMPO ERE,1,1.9421
2022,CAMPOS NOVOS,1,13.8214
2022,CANELINHA,0,0.7126
2022,CANOINHAS,0,18.9949
2022,CAPAO ALTO,0,5.5573
2022,CAPINZAL,0,3.533
2022,CATANDUVAS,0,6.5669
2022,CAXAMBU DO SUL,0,2.0948
2022,CELSO RAMOS,0,5.008
2022,CERRO NEGRO,0,7.7301
2022,CHAPADAO DO LAGEADO,0,0.8878
2022,CHAPECO,1,4.5547
2022,COCAL DO SUL,0,0.7089
2022,CONCORDIA,1,30.6855
2022,CORONEL FREITAS,0,4.6923
2022,CORONEL MARTINS,0,0.5507
2022,CORREIA PINTO,0,14.5983
2022,CORUPA,1,4.6331
2022,CRICIUMA,3,6.1034
2022,CUNHA PORA,0,0.3511
2022,CUNHATAI,0,0.3473
2022,CURITIBANOS,0,158.6122
2022,DESCANSO,0,4.637
2022,DIONISIO CERQUEIRA,0,7.5847
2022,DONA EMMA,0,1.9771
2022,ENTRE RIOS,0,0.3021
2022,ERVAL VELHO,0,2.7088
2022,FAXINAL DOS GUEDES,0,1.1308
2022,FLOR DO SERTAO,0,0.676
2022,FORMOSA DO SUL,0,1.2478
2022,FORQUILHINHA,0,0.9808
2022,FRAIBURGO,0,23.3053
2022,FREI ROGERIO,0,3.0287
2022,GALVAO,0,5.6036
2022,GARUVA,1,0.8372
2022,GASPAR,1,4.2166
2022,GRAO-PARA,0,10.9302
2022,GRAVATAL,0,0.7876
2022,GUARACIABA,0,6.8668
2022,GUARUJA DO SUL,1,1.1494
2022,GUATAMBU,0,3.178
2022,HERVAL D'OESTE,0,1.3631
2022,IBIAM,0,0.6457
2022,IBICARE,0,0.581
2022,IBIRAMA,0,1.3455
2022,ICARA,0,2.3365
2022,ILHOTA,1,2.3452
2022,IMBUIA,1,3.5366
2022,INDAIAL,0,2.0358
2022,IPIRA,0,18.2918
2022,IPORA DO OESTE,0,5.0942
2022,IPUACU,0,1.9306
2022,IPUMIRIM,0,12.9862
2022,IRACEMINHA,0,8.0689
2022,IRANI,0,9.5138
2022,IRATI,0,3.1001
2022,IRINEOPOLIS,0,2.4388
2022,ITA,0,0.6958
2022,ITAIOPOLIS,10,24.1579
2022,ITAJAI,8,12.213
2022,ITAPIRANGA,0,2.023
2022,ITAPOA,4,11.2793
2022,ITUPORANGA,1,13.8098
2022,JABORA,1,7.6313
2022,JAGUARUNA,0,0.7762
2022,JOACABA,1,10.0563
2022,JOINVILLE,9,6.0819
2022,JOSE BOITEUX,0,2.4161
2022,LAGES,1,9.7607
2022,LAURO MULLER,0,5.5867
2022,LEBON REGIS,0,22.6343
2022,LEOBERTO LEAL,1,12.3388
2022,LINDOIA DO SUL,0,15.0546
2022,LUIZ ALVES,0,0.4896
2022,LUZERNA,0,1.0619
2022,MACIEIRA,0,5.7341
2022,MAFRA,0,58.5037
2022,MAJOR GERCINO,1,5.3643
2022,MAJOR VIEIRA,0,3.0634
2022,MARACAJA,0,0.712
2022,MARAVILHA,0,3.2351
2022,MAREMA,0,3.4201
2022,MASSARANDUBA,0,1.4742
2022,MATOS COSTA,0,7.7268
2022,MONDAI,0,2.0599
2022,MONTE CASTELO,0,8.7046
2022,NAVEGANTES,1,1.9362
2022,NOVA ITABERABA,0,3.4646
2022,NOVA VENEZA,1,0.5174
2022,NOVO HORIZONTE,0,4.0341
2022,ORLEANS,0,10.1404
2022,OTACILIO COSTA,0,19.5534
2022,OURO,0,10.8551
2022,OURO VERDE,0,1.421
2022,PALHOCA,1,7.8489
2022,PALMA SOLA,0,1.3561
2022,PALMEIRA,0,11.1666
2022,PALMITOS,0,6.2576
2022,PAPANDUVA,0,17.3126
2022,PARAISO,0,8.9904
2022,PASSOS MAIA,1,57.4959
2022,PEDRAS GRANDES,0,2.2032
2022,PENHA,1,10.1237
2022,PERITIBA,0,9.4232
2022,PETROLANDIA,0,13.6598
2022,PINHALZINHO,0,2.6542
2022,PIRATUBA,1,2.5338
2022,PLANALTO ALEGRE,0,1.7766
2022,PONTE ALTA,0,1.752
2022,PONTE ALTA DO NORTE,0,1.0183
2022,PONTE SERRADA,0,51.6622
2022,PORTO UNIAO,3,5.0539
2022,POUSO REDONDO,0,0.7862
2022,PRESIDENTE CASTELLO BRANCO,0,10.4078
2022,PRESIDENTE GETULIO,0,9.6346
2022,PRESIDENTE NEREU,0,0.4187
2022,QUILOMBO,0,2.1748
2022,RANCHO QUEIMADO,1,2.1834
2022,RIO DAS ANTAS,0,2.2115
2022,RIO DO CAMPO,0,1.657
2022,RIO DO OESTE,0,0.7758
2022,RIO DO SUL,2,0.7488
2022,RIO DOS CEDROS,0,7.9732
2022,RIO FORTUNA,0,2.7859
2022,RIO NEGRINHO,4,17.3764
2022,RIQUEZA,0,14.4784
2022,ROMELANDIA,0,1.8874
2022,SALTINHO,0,6.5499
2022,SANTA CECILIA,0,40.8284
2022,SANTA HELENA,0,3.5907
2022,SANTA ROSA DE LIMA,1,0.4095
2022,SANTA TEREZINHA,0,21.8993
2022,SANTIAGO DO SUL,0,2.4582
2022,SANTO AMARO DA IMPERATRIZ,1,0.567
2022,SAO BENTO DO SUL,3,3.0948
2022,SAO BONIFACIO,0,2.9468
2022,SAO CRISTOVAO DO SUL,0,13.6033
2022,SAO DOMINGOS,1,3.5561
2022,SAO FRANCISCO DO SUL,3,2.2081
2022,SAO JOAO BATISTA,0,8.8865
2022,SAO JOAO DO OESTE,0,0.2785
2022,SAO JOAQUIM,1,5.8732
2022,SAO JOSE,1,1.3461
2022,SAO JOSE DO CEDRO,0,2.4568
2022,SAO JOSE DO CERRITO,0,160.0001
2022,SAO LOURENCO DO OESTE,0,8.9159
2022,SAO LUDGERO,0,4.167
2022,SAO MARTINHO,0,4.8018
2022,SAO MIGUEL DA BOA VISTA,0,8.4447
2022,SAO MIGUEL DO OESTE,0,2.8654
2022,SAO PEDRO DE ALCANTARA,1,1.4368
2022,SAUDADES,0,5.0423
2022,SEARA,0,5.3005
2022,SERRA ALTA,0,6.0377
2022,SUL BRASIL,0,4.3829
2022,TAIO,0,8.0575
2022,TANGARA,0,5.5243
2022,TIGRINHOS,0,0.467
2022,TIMBO GRANDE,0,28.6915
2022,TREZE TILIAS,0,0.5384
2022,TUNAPOLIS,0,7.3688
2022,UNIAO DO OESTE,0,4.3743
2022,URUSSANGA,1,6.2738
2022,VARGEAO,0,2.3309
2022,VARGEM,0,132.8083
2022,VARGEM BONITA,2,3.2176
2022,VIDAL RAMOS,2,22.0601
2022,VIDEIRA,1,0.5056
2022,VITOR MEIRELES,1,2.7086
2022,WITMARSUM,0,1.0777
2022,XANXERE,0,2.7268
2022,XAVANTINA,0,1.9284
2022,XAXIM,0,6.4687
2023,ABDON BATISTA,0,1.389
2023,AGUA DOCE,2,30.2975
2023,AGUAS DE CHAPECO,0,0.8774
2023,AGUAS FRIAS,0,1.9471
2023,AGUAS MORNAS,1,3.2272
2023,ALFREDO WAGNER,4,15.6879
2023,ALTO BELA VISTA,0,1.3339
2023,ANGELINA,0,7.0317
2023,ANITA GARIBALDI,0,6.6211
2023,ANITAPOLIS,2,1.022
2023,ANTONIO CARLOS,2,1.5466
2023,ARABUTA,0,1.0145
2023,ARAQUARI,0,13.9673
2023,ARARANGUA,3,0.659
2023,ARMAZEM,0,3.6492
