ÁREA (ha),ANO DE CRIAÇÃO,MUNICÍPIO
6566.54,2005,ABERLADO LUZ
60,2009,AGUA DOCE
49,2001,AGUA DOCE
13.5,2013,AGUAS MORNAS
10,2002,ALFREDO WAGNER
43.5,2013,ALFREDO WAGNER
33.58,2008,ALFREDO WAGNER
1854,1990,ANTONIO CARLOS
558.86,1998,ANTONIO CARLOS
519.35,1988,APIUNA
57375.14,2004,APIUNA
14.04,2005,BALNEARIO ARROIO DA SILVA
3.82,1999,BALNEARIO CAMBORIU
316.05,2010,BELA VISTA DO TOLDO
5296.16,1993,BLUMENAU
82.7,1993,BLUMENAU
49800,1961,BOM JARDIM DA SERRA
45.5,2013,BOM RETIRO
32.08,2009,BOM RETIRO
24.44,2009,BOM RETIRO
78.6,2009,BOM RETIRO
59.46,2008,BOM RETIRO
4018.77,2011,BOM RETIRO
45,2010,BORUVERA
102.96,2002,BRUSQUE
415.79,2001,BRUSQUE
706.54,1968,CACADOR
13148.14,1992,CAMBARA DO SUL
17302.01,1992,CAMBARA DO SUL
85.2,2015,CAMPO ALEGRE
6328.6,2008,CAMPO BELO DO SUL
1604.36,1968,CHAPECO
1156.33,2002,CORUPA
759.34,1987,FLORIANOPOLIS
17104.6,1990,FLORIANOPOLIS
1712.1,1992,FLORIANOPOLIS
44.16,1999,FLORIANOPOLIS
16,1999,FLORIANOPOLIS
74.05,2016,FLORIANOPOLIS
4436.59,1992,GOVERNADOR CELSO RAMOS
1.89,2008,GUARAMIRIM
2.75,2008,GUARAMIRIM
4.6,2014,GUARUJA DO SUL
154867.4,2000,IMBITUBA
28.64,2016,ITAIOPOLIS
332.92,2009,ITAIOPOLIS
79.05,2012,ITAIOPOLIS
55.73,2011,ITAIOPOLIS
212.07,2012,ITAIOPOLIS
54.34,2012,ITAIOPOLIS
31.86,2010,ITAIOPOLIS
98.83,2020,ITAIOPOLIS
23.12,2009,ITAIOPOLIS
36.3,2010,ITAIOPOLIS
5.2,2018,ITAJAI
590.6,1992,ITAPOA
285.23,2018,ITAPOA
3,1997,ITUPORANGA
4613.8,2001,JOINVILLE
900.39,1998,MAJOR GERCINO
5.99,2009,NOVA TRENTO
1.79,2016,NOVA TRENTO
100,2001,NOVA TRENTO
12809.59,2005,PASSOS MAIA
6.14,2017,PAULO LOPES
226.47,2004,PAULO LOPES
66.7,2012,PAULO LOPES
2.871341,2022,PORTO BELO
7.53,2022,PORTO BELO
45.9,2002,PORTO BELO
67.33,2021,PORTO UNIAO
4.95,2009,RANCHO QUEIMADO
9.05,2022,RIO NEGRINHO
10,1999,SANTA ROSA DE LIMA
88,2001,SAO BENTO DO SUL
22.04,2014,SAO BENTO DO SUL
7,2002,SAO FRANCISCO DO SUL
50,2000,SAO JOAQUIM
26,2001,SAO JOSE
19.99,2005,SAO PEDRO DE ALCANTARA
4385.36,1968,TRES BARRAS
13.46,2012,URUBICI
155.15,2012,URUBICI
100,2009,URUBICI
201.54,2012,URUBICI
15.7,2010,URUBICI
3.64,2011,URUBICI
126.5,2008,URUBICI
36.06,2018,URUPEMA
5016.6,1996,VITOR MEIRELES
6.577,2020,PAIAL
1.57,2020,PALHOCA
18.36,2015,PORTO UNIAO
15,2011,ANITAPOLIS
12,2015,PORTO UNIAO
130.47,2012,JARAGUA DO SUL
12.866,2017,NOVA TRENTO
2850,2018,VARGEM BONITA
16.46,2022,RIO DO SUL
10.57,2012,ALFREDO WAGNER
6.6126,2022,RIO DO SUL
35.04,2018,RIO NEGRINHO
2.09,2022,LAURENTINO
16.83,2020,VIDEIRA
0.7,2019,PORTO BELO
5.58,2018,VARGEM BONITA
0.78,2016,LEOBERTO LEAL
10.73,2022,ANITAPOLIS
5.06,2022,PORTO BELO
18,2021,BANDEIRANTES
18.636,2022,JOINVILLE
4987.15,2014,BOCAINA DO SUL
21.4,2014,VIDAL RAMOS
5,2019,NOVA TRENTO
15.823,2019,ITAJAI
5237,1977,DOUTOR PEDRINHO
7672,1983,MORRO GRANDE
1899,1980,BOTUVERA
1200,2004,CAMPOS NOVOS
740,2003,CONCORDIA
1532,2007,FLORIANOPOLIS
84.13,1975,FLORIANOPOLIS
1330,1980,GRAO PARA
2.871341,2022,PORTO BELO
3.8340949999999996,2022,PORTO BELO
4610,1984,JOINVILLE
171635.1,2022,CUMEADA SERRA GERAL E SERRA DO MAR
1420,2009,SAO BONIFACIO/SAO MARTINHO
935,2019,SANTO AMARO DA IMPERATRIZ
6.509899,2021,PORTO BELO
1.2161170000000001,2021,PORTO BELO
612,2003,SAO DOMINGOS
6667,2005,SAO FRANCISCO DO SUL
3213.7,2016,ARARANGUA
280.202,2016,ARARANGUA
566.526,2016,ARARANGUA
23,2012,ARROIO TRINTA
26,2004,ARROIO TRINTA
54,2000,ATALANTA
992.83,2000,BALNEARIO CAMBORIU
1.878,1993,BALNEARIO BARRA DO SUL
17.26,2006,BALNEARIO CAMBORIU
70,2022,BALNEARIO PICARRAS
121.12,2007,BARRA VELHA
153.047746,2023,BIGUACU
1226.32,2017,BIGUACU
38.92,1999,BLUMENAU
10000,2001,BLUMENAU
42,1995,BLUMENAU
16,2007,BLUMENAU
2.9,1995,BLUMENAU
0.34,1992,BLUMENAU
3.0094,2021,BLUMENAU
22.29,2016,BLUMENAU
6.7,2002,BLUMENU
500,2001,BOMBINHAS
18,2017,BOTUVERA
0.982,2016,BRUSQUE
2600,1999,CAMBORIU
20.44,2020,CAMBORIU
7000,1998,CAMPO ALEGRE
25,1995,CAMPO ERE
135.8,2013,CRICIUMA
83.6,2008,CRICIUMA
7.7,1993,CRICIUMA
221.07,2016,FLORIANOPOLIS
706.76,2018,FLORIANOPOLIS
1544,2018,FLORIANOPOLIS
216.47,2022,FLORIANOPOLIS
920.54,2018,FLORIANOPOLIS
129.2,2013,FLORIANOPOLIS
111.47,2021,FLORIANOPOLIS
5972,2021,FLORIANOPOLIS
9325,1997,GARUVA
200,2000,GASPAR
546,2015,ILHOTA
90.9,2008,IMBUIA
2014.7,1993,ITAJAI
65,2008,ITAJAI
1.18,2008,ITAJAI
11.52,2012,ITAJAI
19.508,2007,ITAJAI
65,2008,ITAJAI
1246,2022,ITAPOA
39.73,2011,ITAPOA
1.089718,2022,JABORA
41.129,2016,JARAGUA
285.68,2002,JOACABA
40842,1997,JOINVILLE
391.5,2003,JOINVILLE
525,2012,JOINVILLE
525,2017,JOINVILLE
127.94,2004,JOINVILLE
336,2012,JOINVILLE
234.42,2005,LAGES
46.26,2001,LAGUNA
14.712,2011,NAVEGANTES
3.43,2020,NOVA VENEZA
16.1,2020,PENHA
