city,quantidade_registros,area_ha_total
ABDON BATISTA,12,30.7462
ABELARDO LUZ,20,45.9217
AGROLANDIA,6,18.1393
AGRONOMICA,4,4.1911
AGUA DOCE,27,159.7604
AGUAS DE CHAPECO,5,4.0876
AGUAS FRIAS,2,3.7443
AGUAS MORNAS,14,18.8942
ALFREDO WAGNER,33,70.3375
ALTO BELA VISTA,9,7.8207
ANCHIETA,6,6.6473
ANGELINA,35,35.682
ANITA GARIBALDI,35,141.0821
ANITAPOLIS,14,16.4879
ANTONIO CARLOS,5,4.426
APIUNA,4,19.0957
ARABUTA,3,4.7839
ARAQUARI,43,202.2925
ARARANGUA,1,0.659
ARMAZEM,6,10.2752
ARROIO TRINTA,2,3.0878
ASCURRA,2,2.4021
ATALANTA,5,6.719
AURORA,12,20.4244
BALNEARIO ARROIO DO SILVA,2,9.3148
BALNEARIO BARRA DO SUL,2,4.6338
BALNEARIO CAMBORIU,1,2.9261
BALNEARIO PICARRAS,6,26.4419
BANDEIRANTE,6,10.4897
BARRA BONITA,3,3.2307
BARRA VELHA,9,32.0653
BELA VISTA DO TOLDO,15,27.9263
BELMONTE,3,3.2064
BENEDITO NOVO,4,13.1728
BIGUACU,3,4.832
BLUMENAU,5,8.8941
BOCAINA DO SUL,13,75.8515
BOM JARDIM DA SERRA,9,16.6802
BOM JESUS DO OESTE,5,4.0454
BOM RETIRO,21,87.4576
BOTUVERA,3,7.9545
BRACO DO NORTE,7,9.7607
BRACO DO TROMBUDO,3,6.3155
BRUNOPOLIS,22,286.7104
BRUSQUE,18,48.0351
CACADOR,26,79.8791
CAIBI,9,12.3638
CALMON,14,44.7147
CAMBORIU,3,11.316
CAMPO ALEGRE,16,52.5981
CAMPO BELO DO SUL,20,47.2271
CAMPO ERE,7,11.5563
CAMPOS NOVOS,29,46.524
CANELINHA,2,2.339
CANOINHAS,39,104.3986
CAPAO ALTO,5,10.3795
CAPINZAL,6,8.3153
CATANDUVAS,8,21.0818
CAXAMBU DO SUL,3,3.7127
CELSO RAMOS,13,42.411
CERRO NEGRO,13,28.4217
CHAPADAO DO LAGEADO,4,2.8887
CHAPECO,9,28.0982
COCAL DO SUL,2,1.3523
CONCORDIA,55,80.8181
CORDILHEIRA ALTA,1,3.1979
CORONEL FREITAS,8,8.598
CORONEL MARTINS,4,6.2425
CORREIA PINTO,18,65.2824
CORUPA,7,12.9979
CRICIUMA,11,37.893
CUNHA PORA,5,3.9931
CUNHATAI,4,8.4145
CURITIBANOS,21,181.2069
DESCANSO,10,14.9607
DIONISIO CERQUEIRA,13,16.7589
DONA EMMA,4,3.6895
DOUTOR PEDRINHO,2,15.1807
ENTRE RIOS,4,55.188
ERVAL VELHO,7,6.9489
FAXINAL DOS GUEDES,6,12.9643
FLOR DO SERTAO,1,0.676
FLORIANOPOLIS,1,1.3287
FORMOSA DO SUL,4,6.2172
FORQUILHINHA,3,6.6275
FRAIBURGO,27,49.5257
FREI ROGERIO,3,4.2569
GALVAO,6,8.6569
GAROPABA,1,2.1605
GARUVA,12,45.6521
GASPAR,9,23.9172
GRAO-PARA,20,16.8492
GRAVATAL,2,0.7876
GUABIRUBA,4,2.6904
GUARACIABA,13,12.306
GUARAMIRIM,3,3.2827
GUARUJA DO SUL,4,2.8607
GUATAMBU,2,3.178
IBIAM,4,11.8487
IBICARE,3,8.0225
IBIRAMA,4,7.1425
ICARA,5,13.6271
ILHOTA,1,2.3452
IMARUI,4,9.7287
IMBUIA,9,11.694
INDAIAL,9,17.5088
IOMERE,1,0.5296
IPIRA,18,48.0454
IPORA DO OESTE,9,14.9968
IPUACU,5,10.7479
IPUMIRIM,20,22.3074
IRACEMINHA,8,15.08
IRANI,9,13.2181
IRATI,2,3.5912
IRINEOPOLIS,3,6.0682
ITA,5,14.4848
ITAIOPOLIS,76,181.798
ITAJAI,17,43.4074
ITAPEMA,1,0.6327
ITAPIRANGA,7,8.2252
ITAPOA,14,87.6418
ITUPORANGA,23,36.3895
JABORA,15,28.2627
JACINTO MACHADO,6,9.9987
JAGUARUNA,2,5.7729
JARAGUA DO SUL,7,12.9439
JARDINOPOLIS,2,5.2873
JOACABA,12,15.9767
JOINVILLE,12,36.4552
JOSE BOITEUX,4,6.9949
JUPIA,1,0.9926
LACERDOPOLIS,2,1.2529
LAGES,17,34.7326
LAURO MULLER,4,7.4355
LEBON REGIS,28,71.051
LEOBERTO LEAL,16,16.8648
LINDOIA DO SUL,13,25.6796
LONTRAS,2,1.1742
LUIZ ALVES,3,4.1161
LUZERNA,5,12.2067
MACIEIRA,11,32.5183
MAFRA,80,183.7266
MAJOR GERCINO,6,6.8676
MAJOR VIEIRA,7,11.8802
MARACAJA,4,3.1345
MARAVILHA,6,7.2331
MAREMA,2,3.9085
MASSARANDUBA,3,4.9387
MATOS COSTA,5,19.635
MIRIM DOCE,1,1.5077
MODELO,2,1.36
MONDAI,5,6.3157
MONTE CARLO,1,0.4891
MONTE CASTELO,23,79.4398
MORRO DA FUMACA,3,5.0009
NAVEGANTES,3,8.7265
NOVA ERECHIM,1,0.3831
NOVA ITABERABA,5,4.2194
NOVA TRENTO,3,2.1456
NOVA VENEZA,1,0.5174
NOVO HORIZONTE,6,5.8907
ORLEANS,27,37.9129
OTACILIO COSTA,24,59.8477
OURO,20,22.8773
OURO VERDE,6,5.8553
PAINEL,1,2.877
PALHOCA,12,59.2698
PALMA SOLA,5,4.3592
PALMEIRA,12,33.4031
PALMITOS,13,27.6137
PAPANDUVA,20,57.494
PARAISO,9,13.0398
PASSOS MAIA,36,283.4606
PAULO LOPES,2,6.9682
PEDRAS GRANDES,6,10.2768
PENHA,2,10.1237
PERITIBA,15,39.2529
PETROLANDIA,12,23.3063
PINHALZINHO,6,11.4099
PIRATUBA,6,5.1121
PLANALTO ALEGRE,4,2.0123
PONTE ALTA,11,15.863
PONTE ALTA DO NORTE,4,42.6296
PONTE SERRADA,14,177.7119
PORTO BELO,2,10.6261
PORTO UNIAO,8,13.232
POUSO REDONDO,5,9.7405
PRESIDENTE CASTELLO BRANCO,11,16.5407
PRESIDENTE GETULIO,11,19.6702
PRESIDENTE NEREU,5,10.8706
PRINCESA,1,0.4443
QUILOMBO,12,16.6008
RANCHO QUEIMADO,9,16.1833
RIO DAS ANTAS,6,12.7167
RIO DO CAMPO,8,14.1391
RIO DO OESTE,8,11.0765
RIO DO SUL,3,15.7994
RIO DOS CEDROS,8,82.2508
RIO FORTUNA,11,12.2723
RIO NEGRINHO,34,125.8368
RIO RUFINO,2,72.7152
RIQUEZA,11,31.2095
RODEIO,2,16.4355
ROMELANDIA,10,10.8701
SALETE,2,9.5554
SALTINHO,6,9.2158
SANTA CECILIA,21,89.3969
SANTA HELENA,6,8.6884
SANTA ROSA DE LIMA,4,1.6087
SANTA ROSA DO SUL,2,2.0442
SANTA TEREZINHA,49,139.4698
SANTA TEREZINHA DO PROGRESSO,3,1.8245
SANTIAGO DO SUL,1,2.4582
SANTO AMARO DA IMPERATRIZ,1,0.567
SAO BENTO DO SUL,5,6.0675
SAO BERNARDINO,2,2.9117
SAO BONIFACIO,16,22.6477
SAO CARLOS,1,1.8585
SAO CRISTOVAO DO SUL,3,18.3665
SAO DOMINGOS,13,19.3669
SAO FRANCISCO DO SUL,22,71.9134
SAO JOAO BATISTA,8,23.2713
SAO JOAO DO ITAPERIU,5,15.2752
SAO JOAO DO OESTE,4,1.4287
SAO JOAO DO SUL,1,2.4647
SAO JOAQUIM,22,31.8244
SAO JOSE,6,15.095
SAO JOSE DO CEDRO,5,4.1698
SAO JOSE DO CERRITO,88,335.3776
SAO LOURENCO DO OESTE,16,15.5021
SAO LUDGERO,6,5.3948
SAO MARTINHO,12,16.5585
SAO MIGUEL DA BOA VISTA,5,10.1681
SAO MIGUEL DO OESTE,7,9.5929
SAO PEDRO DE ALCANTARA,3,4.8616
SAUDADES,4,8.2316
SCHROEDER,1,2.7124
SEARA,6,8.3233
SERRA ALTA,6,6.0377
SIDEROPOLIS,6,20.0726
SOMBRIO,1,1.4242
SUL BRASIL,9,10.7759
TAIO,14,46.9409
TANGARA,12,15.7744
TIGRINHOS,2,1.1362
TIJUCAS,4,17.0552
TIMBE DO SUL,1,2.0911
TIMBO,2,3.9659
TIMBO GRANDE,20,70.2659
TRES BARRAS,4,5.8589
TREVISO,1,1.7653
TREZE DE MAIO,1,1.1665
TREZE TILIAS,4,2.0478
TROMBUDO CENTRAL,1,4.004
TUNAPOLIS,9,8.6919
TURVO,1,0.9141
UNIAO DO OESTE,5,6.113
URUBICI,5,27.7035
URUPEMA,1,0.3046
URUSSANGA,14,24.4552
VARGEAO,12,47.6488
VARGEM,23,171.3022
VARGEM BONITA,7,10.2252
VIDAL RAMOS,22,50.207
VIDEIRA,7,13.3302
VITOR MEIRELES,9,15.3471
WITMARSUM,5,10.8757
XANXERE,5,2.9204
XAVANTINA,4,4.0173
XAXIM,7,14.9652
ZORTEA,3,8.4398
