year,city,quantidade_registros,area_ha_total
2019,ABDON BATISTA,6,20.5313
2019,AGUA DOCE,1,3.099
2019,ALFREDO WAGNER,4,13.5988
2019,ANGELINA,2,2.0808
2019,ANITA GARIBALDI,3,12.4915
2019,ANITAPOLIS,1,1.6398
2019,ARAQUARI,4,14.3036
2019,ARMAZEM,1,1.8713
2019,BALNEARIO ARROIO DO SILVA,2,9.3148
2019,BARRA VELHA,2,9.6149
2019,BOCAINA DO SUL,1,36.1554
2019,BRUSQUE,2,2.7016
2019,CACADOR,2,5.5467
2019,CALMON,1,3.6387
2019,CAMPO ALEGRE,2,4.8987
2019,CAMPO BELO DO SUL,1,7.313
2019,CAMPOS NOVOS,3,8.9818
2019,CAPAO ALTO,1,2.029
2019,CAPINZAL,1,2.2132
2019,CAXAMBU DO SUL,1,1.6179
2019,CELSO RAMOS,1,21.4938
2019,CONCORDIA,1,1.9781
2019,CORDILHEIRA ALTA,1,3.1979
2019,CORONEL FREITAS,1,3.2055
2019,CORONEL MARTINS,1,2.5433
2019,CORREIA PINTO,1,10.2509
2019,CRICIUMA,1,1.9203
2019,FORMOSA DO SUL,1,4.4578
2019,FRAIBURGO,1,2.9042
2019,GARUVA,3,12.2506
2019,GUARAMIRIM,1,1.5462
2019,IRACEMINHA,1,3.4861
2019,ITA,2,2.3482
2019,ITAIOPOLIS,6,14.2529
2019,ITAPOA,2,5.3533
2019,ITUPORANGA,1,2.0066
2019,JACINTO MACHADO,1,3.0755
2019,JAGUARUNA,1,4.9967
2019,JOINVILLE,2,11.4456
2019,LEBON REGIS,2,5.0752
2019,MAFRA,4,12.761
2019,MATOS COSTA,1,5.5196
2019,ORLEANS,1,1.5953
2019,OTACILIO COSTA,6,19.6775
2019,OURO VERDE,2,3.4106
2019,PALMA SOLA,1,0.4888
2019,PALMITOS,1,13.1384
2019,PAPANDUVA,2,13.6235
2019,PASSOS MAIA,1,1.0035
2019,PAULO LOPES,1,1.2051
2019,PINHALZINHO,1,8.0046
2019,PONTE ALTA,2,3.7909
2019,PORTO UNIAO,1,1.0421
2019,PRESIDENTE GETULIO,1,1.2263
2019,RIO DAS ANTAS,1,6.7919
2019,RIO DO OESTE,1,1.0389
2019,RIO NEGRINHO,3,10.0651
2019,SANTA CECILIA,1,3.918
2019,SANTA TEREZINHA,1,3.5932
2019,SAO BONIFACIO,2,2.7393
2019,SAO FRANCISCO DO SUL,2,7.1159
2019,SAO JOAO DO ITAPERIU,1,3.3436
2019,SAO JOAQUIM,1,1.8799
2019,SAO JOSE DO CERRITO,7,20.3961
2019,SAO MIGUEL DO OESTE,1,1.7224
2019,SIDEROPOLIS,2,10.1293
2019,TIMBO GRANDE,4,25.4272
2019,URUSSANGA,1,1.4489
2019,VARGEAO,1,4.1188
2019,VARGEM,2,8.4591
2019,VARGEM BONITA,1,5.2181
2019,VITOR MEIRELES,1,1.8155
2020,ABELARDO LUZ,7,23.1345
2020,AGUA DOCE,3,31.8917
2020,AGUAS MORNAS,1,1.0226
2020,ALFREDO WAGNER,3,8.4148
2020,ALTO BELA VISTA,1,2.2676
2020,ANGELINA,1,3.3817
2020,ANITA GARIBALDI,16,75.641
2020,ANITAPOLIS,3,6.6962
2020,ANTONIO CARLOS,1,0.5147
2020,ARAQUARI,17,78.0341
2020,ARMAZEM,1,2.7128
2020,ASCURRA,1,1.951
2020,ATALANTA,1,1.4079
2020,BALNEARIO BARRA DO SUL,1,2.7986
2020,BALNEARIO PICARRAS,1,2.8227
2020,BANDEIRANTE,1,7.278
2020,BARRA VELHA,5,17.2322
