UC FEDERAL,ANO DE CRIACAO,ATO DE CRIACAO,AREA (HA),MUNICIPIO,PLANO MANEJO,UC ESTADUAL,PLANO DE MANEJO,UC MUNICIPAL
ESTACAO ECOLOGICA MATA PRETA,2005,,6566.54,ABERLADO LUZ,,,,
RPPN FAZENDA SANTA TEREZINHA,2009,,60,AGUA DOCE,,,,
RPPN GRALHA-AZUL,2001,,49,AGUA DOCE,,,,
RPPN AMPLUS LUCIDUS,2013,,13.5,AGUAS MORNAS,,,,
RPPN RESERVA RIO DAS FURNAS,2002,,10,ALFREDO WAGNER,,,,
RPPN RESERVA RIO DAS FURNAS II,2013,,43.5,ALFREDO WAGNER,,,,
RPPN VALE DAS PEDRAS,2008,,33.58,ALFREDO WAGNER,,,,
RPPN RESERVA DO CARAGUATA I,1990,PORT ICMBIO 645 DOU 87,1854,ANTONIO CARLOS,,,,
RPPN RESERVA DO CARAGUATA II,1998,PORT ICMBIO 01 DOU 06,558.86,ANTONIO CARLOS,,,,
FLONA DE IBIRAMA,1988,,519.35,APIUNA,,,,
PARNA DA SERRA DO ITAJAI,2004,,57375.14,APIUNA,,,,
RPPN CAPAO REDONDO,2005,,14.04,BALNEARIO ARROIO DA SILVA,,,,
RPPN NORMANDO TEDESCO,1999,,3.82,BALNEARIO CAMBORIU,,,,
RPPN SERRA DO LUCINDO,2010,,316.05,BELA VISTA DO TOLDO,,,,
RPPN PARQUE ECOLOGICO ARTEX,1993,,5296.16,BLUMENAU,,,,
RPPN RESERVA BUGERKOPF,1993,,82.7,BLUMENAU,,,,
PARNA SAO JOAQUIM,1961,DEC 50.922/61,49800,BOM JARDIM DA SERRA,,,,
RPPN CANTO DA ARAPONGA,2013,,45.5,BOM RETIRO,,,,
RPPN CURUCACA I,2009,,32.08,BOM RETIRO,,,,
RPPN CURUCACA II,2009,,24.44,BOM RETIRO,,,,
RPPN CURUCACA III,2009,,78.6,BOM RETIRO,,,,
RPPN CURUCACA IV,2008,,59.46,BOM RETIRO,,,,
RPPN GRANDE FLORESTA DAS ARAUCARIAS,2011,,4018.77,BOM RETIRO,,,,
RPPN PORTO FRANCO,2010,,45,BORUVERA,,,,
RPPN BIO ESTACOES AGUAS CRISTALINAS,2002,,102.96,BRUSQUE,,,,
RPPN CHACARA EDITH,2001,,415.79,BRUSQUE,,,,
FLONA DE CACADOR,1968,,706.54,CACADOR,,,,
PARNA APARADOS DA SERRA,1992,DEC 531/92,13148.14,CAMBARA DO SUL,,,,
PARNA DA SERRA GERAL,1992,DEC 47.446/59 + DEC 70.296/72,17302.01,CAMBARA DO SUL,,,,
RPPN RESERVA HEINZ BAHR,2015,,85.2,CAMPO ALEGRE,,,,
RPPN EMILIO EINSFELD FILHO,2008,,6328.6,CAMPO BELO DO SUL,,,,
FLONA CHAPECO,1968,,1604.36,CHAPECO,,,,
RPPN EMILIO FIORENTINO BATTISTELLA,2002,,1156.33,CORUPA,,,,
ESTACAO ECOLOGICA DE CARIJOS,1987,DEC. 94.656/87,759.34,FLORIANOPOLIS,,,,
REBIO MARINHA ARVOREDO,1990,,17104.6,FLORIANOPOLIS,,,,
RESEX MARINHA COSTEIRA DO PIRAJUBAE,1992,DEC 533/1992,1712.1,FLORIANOPOLIS,,,,
RPPN MORRO DAS ARANHAS,1999,,44.16,FLORIANOPOLIS,,,,
RPPN RESERVA NATURAL MENINO DE DEUS,1999,,16,FLORIANOPOLIS,,,,
RPPN RIO VERMELHO,2016,,74.05,FLORIANOPOLIS,,,,
APA DO ANHATOMIRIM,1992,,4436.59,GOVERNADOR CELSO RAMOS,,,,
RPPN SANTUARIO RA-BUGIO I,2008,,1.89,GUARAMIRIM,,,,
RPPN SANTUARIO RA-BUGIO II,2008,,2.75,GUARAMIRIM,,,,
RPPN RANCHO LUAR,2014,,4.6,GUARUJA DO SUL,,,,
APA DA BALEIA FRANCA,2000,,154867.4,IMBITUBA,,,,
RPPN RASO DO MANDI II,2016,,28.64,ITAIOPOLIS,,,,
RPPN CORREDEIRAS DO RIO ITAJAI,2009,,332.92,ITAIOPOLIS,,,,
RPPN CORREDEIRAS DO RIO ITAJAI II,2012,,79.05,ITAIOPOLIS,,,,
RPPN DAS ARAUCARIAS GIGANTES,2011,,55.73,ITAIOPOLIS,,,,
RPPN ODIR ZANELATTO,2012,,212.07,ITAIOPOLIS,,,,
RPPN RASO DO MANDI,2012,,54.34,ITAIOPOLIS,,,,
RPPN REFUGIO DO MACUCO,2010,,31.86,ITAIOPOLIS,,,,
RPPN TAIPA DO RIO DO COURO II,2020,,98.83,ITAIOPOLIS,,,,
RPPN TAIPA DO RIO ITAJAI,2009,,23.12,ITAIOPOLIS,,,,
RPPN TAIPA RIO DO COURO,2010,,36.3,ITAIOPOLIS,,,,
RPPN BRAVA BEACH INTERNACIONAL,2018,,5.2,ITAJAI,,,,
RPPN FAZENDA PALMITAL,1992,,590.6,ITAPOA,,,,
RPPN RESERVA VOLTA VELHA,2018,,285.23,ITAPOA,,,,
RPPN FAZENDA POUSADA SERRA PITOCO,1997,,3,ITUPORANGA,,,,
RPPN CAETEZAL,2001,PORT. ICMBIO 168/2001,4613.8,JOINVILLE,,,,
RPPN RESERVA DO CARAGUATA III,1998,,900.39,MAJOR GERCINO,,,,
RPPN GRUTINHA,2009,,5.99,NOVA TRENTO,,,,
RPPN JORGE LUIZ ORSI,2016,,1.79,NOVA TRENTO,,,,
